Name,unpol.EIC.empty5x100
Comment,Bins for EIC set
Reference,AV
Process type,SIDIS
Number of points,16016
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
1,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
2,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
4,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.35,0.3,0.4,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
5,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.45,0.4,0.5,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
6,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.55,0.5,0.6,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
7,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.65,0.6,0.7,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
8,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.75,0.7,0.8,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
9,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.85,0.8,0.9,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
10,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,0.95,0.9,1.0,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
11,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,1.25,1.0,1.5,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
12,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,1.75,1.5,2.0,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
13,1 - 1 - 2001,2000.0,1.1786178345842218,1.0,1.3335216533675034,0.000815479,0.000630957,0.001,0.025,0.0,0.05,3.0,2.0,4.0,100.0,1.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
