Name,unpol.10x100_kp_HB_opt5_cut
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,3464
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
4025,1 - 1 - 2002,4000.0,1.8439088914585775,1.7782800679308082,2.3713730200033902,0.000943,0.000630957,0.001,0.122,0.1,0.15,0.035,0.0,0.05,70100.0,1760.0,63800.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4038,1 - 1 - 2002,4000.0,1.8384776310850235,1.7782800679308082,2.3713730200033902,0.000937,0.000630957,0.001,0.172,0.15,0.2,0.0771,0.05,0.1,185000.0,2850.0,147000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4051,1 - 1 - 2002,4000.0,1.835755975068582,1.7782800679308082,2.3713730200033902,0.000962,0.000630957,0.001,0.223,0.2,0.25,0.0791,0.05,0.1,89300.0,1980.0,31900.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4064,1 - 1 - 2002,4000.0,1.8220867158288598,1.7782800679308082,2.3713730200033902,0.000938,0.000630957,0.001,0.273,0.25,0.3,0.0265,0.0,0.05,57400.0,1590.0,31900.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4065,1 - 1 - 2002,4000.0,1.841195263952197,1.7782800679308082,2.3713730200033902,0.000966,0.000630957,0.001,0.277,0.25,0.3,0.0815,0.05,0.1,76500.0,1840.0,38200.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4078,1 - 1 - 2002,4000.0,1.841195263952197,1.7782800679308082,2.3713730200033902,0.000954,0.000630957,0.001,0.35,0.3,0.4,0.034,0.0,0.05,15900.0,592.0,3190.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4079,1 - 1 - 2002,4000.0,1.8601075237738274,1.7782800679308082,2.3713730200033902,0.000948,0.000630957,0.001,0.346,0.3,0.4,0.0832,0.05,0.1,41400.0,955.0,6390.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4080,1 - 1 - 2002,4000.0,1.835755975068582,1.7782800679308082,2.3713730200033902,0.00094,0.000630957,0.001,0.349,0.3,0.4,0.151,0.1,0.2,68500.0,869.0,12700.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4092,1 - 1 - 2002,4000.0,1.8193405398660252,1.7782800679308082,2.3713730200033902,0.000912,0.000630957,0.001,0.42,0.4,0.5,0.0466,0.0,0.05,9570.0,459.0,3190.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4093,1 - 1 - 2002,4000.0,1.8681541692269406,1.7782800679308082,2.3713730200033902,0.000956,0.000630957,0.001,0.438,0.4,0.5,0.0778,0.05,0.1,28700.0,795.0,6380.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4094,1 - 1 - 2002,4000.0,1.8275666882497066,1.7782800679308082,2.3713730200033902,0.000946,0.000630957,0.001,0.442,0.4,0.5,0.16,0.1,0.2,38300.0,649.0,15900.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4106,1 - 1 - 2002,4000.0,1.835755975068582,1.7782800679308082,2.3713730200033902,0.000942,0.000630957,0.001,0.545,0.5,0.6,0.157,0.1,0.2,27100.0,546.0,4790.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4117,1 - 1 - 2002,4000.0,1.8110770276274832,1.7782800679308082,2.3713730200033902,0.000939,0.000630957,0.001,0.633,0.6,0.7,0.0844,0.05,0.1,12800.0,530.0,3190.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4118,1 - 1 - 2002,4000.0,1.833030277982336,1.7782800679308082,2.3713730200033902,0.000931,0.000630957,0.001,0.645,0.6,0.7,0.137,0.1,0.2,11200.0,350.0,1590.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
