Name,unpol.5x100_km_ACC_opt6
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,12012
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000595,0.000398107,0.000630957,0.0189,0.0,0.05,0.156,0.1,0.2,27900000.0,55500.0,25600000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
1,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0182,0.0,0.05,0.251,0.2,0.3,39700000.0,66200.0,34100000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
2,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0174,0.0,0.05,0.349,0.3,0.4,39300000.0,65900.0,32300000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0177,0.0,0.05,0.449,0.4,0.5,34500000.0,61700.0,26500000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
4,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0173,0.0,0.05,0.546,0.5,0.6,26000000.0,53500.0,19700000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
5,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0182,0.0,0.05,0.647,0.6,0.7,18200000.0,44800.0,12800000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
6,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0187,0.0,0.05,0.745,0.7,0.8,12300000.0,36900.0,8540000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
7,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0184,0.0,0.05,0.847,0.8,0.9,7750000.0,29200.0,5070000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
8,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000595,0.000398107,0.000630957,0.0194,0.0,0.05,0.946,0.9,1.0,4900000.0,23300.0,2850000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
9,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0215,0.0,0.05,1.16,1.0,1.5,1320000.0,5400.0,728000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
10,1 - 1 - 2022,2000.0,1.03440804327886,1.0,1.3335216533675034,0.000595,0.000398107,0.000630957,0.0289,0.0,0.05,1.69,1.5,2.0,123000.0,1650.0,84100.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
11,1 - 1 - 2022,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000586,0.000398107,0.000630957,0.0285,0.0,0.05,2.13,2.0,4.0,4600.0,159.0,2630.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
