Name,unpol.18x275_kp_HB_opt1_cut
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,4070
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
4010,1 - 1 - 2002,19800.0,1.9,1.7782800679308082,2.3713730200033902,0.000222,0.000158489,0.000251189,0.0691,0.05,0.1,0.0318,0.0,0.05,3040000.0,23100.0,3020000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4024,1 - 1 - 2002,19800.0,1.905255888325765,1.7782800679308082,2.3713730200033902,0.000225,0.000158489,0.000251189,0.122,0.1,0.15,0.0323,0.0,0.05,2110000.0,19200.0,1680000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4038,1 - 1 - 2002,19800.0,1.8867962264113207,1.7782800679308082,2.3713730200033902,0.000221,0.000158489,0.000251189,0.171,0.15,0.2,0.0337,0.0,0.05,1550000.0,16500.0,978000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4039,1 - 1 - 2002,19800.0,1.8894443627691184,1.7782800679308082,2.3713730200033902,0.000222,0.000158489,0.000251189,0.172,0.15,0.2,0.0765,0.05,0.1,3840000.0,25900.0,1730000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4052,1 - 1 - 2002,19800.0,1.876166303929372,1.7782800679308082,2.3713730200033902,0.000224,0.000158489,0.000251189,0.226,0.2,0.25,0.0329,0.0,0.05,773000.0,11600.0,386000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4053,1 - 1 - 2002,19800.0,1.8920887928424501,1.7782800679308082,2.3713730200033902,0.000224,0.000158489,0.000251189,0.22,0.2,0.25,0.0778,0.05,0.1,2890000.0,22500.0,1490000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4066,1 - 1 - 2002,19800.0,1.8734993995195195,1.7782800679308082,2.3713730200033902,0.000233,0.000158489,0.000251189,0.269,0.25,0.3,0.0341,0.0,0.05,464000.0,9010.0,309000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4067,1 - 1 - 2002,19800.0,1.8814887722226779,1.7782800679308082,2.3713730200033902,0.00022,0.000158489,0.000251189,0.273,0.25,0.3,0.0778,0.05,0.1,1930000.0,18400.0,927000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4080,1 - 1 - 2002,19800.0,1.8788294228055935,1.7782800679308082,2.3713730200033902,0.000216,0.000158489,0.000251189,0.347,0.3,0.4,0.0324,0.0,0.05,258000.0,4750.0,129000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4081,1 - 1 - 2002,19800.0,1.8973665961010275,1.7782800679308082,2.3713730200033902,0.000225,0.000158489,0.000251189,0.344,0.3,0.4,0.0757,0.05,0.1,1010000.0,9390.0,541000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4082,1 - 1 - 2002,19800.0,1.8947295321496416,1.7782800679308082,2.3713730200033902,0.000222,0.000158489,0.000251189,0.342,0.3,0.4,0.152,0.1,0.2,1690000.0,8600.0,747000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
