Name,Siv.18x100_pim_ACC_opt5_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1872
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
818,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.997498435543818,1.7782013384316186,3.1622776601683795,0.000809,0.000464159,0.001,0.0675,0.05,0.1,0.0311,0.0,0.05,-0.0284,0.00196,0.156,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
819,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.977371993328519,1.7782013384316186,3.1622776601683795,0.000827,0.000464159,0.001,0.12,0.1,0.15,0.0318,0.0,0.05,-0.0193,0.00393,0.237,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
820,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9849433241279208,1.7782013384316186,3.1622776601683795,0.000834,0.000464159,0.001,0.171,0.15,0.2,0.0321,0.0,0.05,-0.053,0.00573,0.0389,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
821,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.982422760159901,1.7782013384316186,3.1622776601683795,0.000829,0.000464159,0.001,0.239,0.2,0.3,0.0314,0.0,0.05,0.0617,0.0059,3.7e-12,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
822,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.96468827043885,1.7782013384316186,3.1622776601683795,0.000834,0.000464159,0.001,0.342,0.3,0.4,0.0328,0.0,0.05,-0.0106,0.0102,1.7e-10,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
823,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9570385790780926,1.7782013384316186,3.1622776601683795,0.000824,0.000464159,0.001,0.448,0.4,0.5,0.0316,0.0,0.05,0.177,0.0157,0.0323,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
824,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9519221295943134,1.7782013384316186,3.1622776601683795,0.00082,0.000464159,0.001,0.551,0.5,0.6,0.0319,0.0,0.05,-0.27,0.0206,0.125,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
825,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.969771560359221,1.7782013384316186,3.1622776601683795,0.000843,0.000464159,0.001,0.636,0.6,0.7,0.0335,0.0,0.05,-0.568,0.0375,1.39,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
829,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9874606914351791,1.7782013384316186,3.1622776601683795,0.000813,0.000464159,0.001,0.171,0.15,0.2,0.0764,0.05,0.1,-0.00165,0.00304,1.46,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
830,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9849433241279208,1.7782013384316186,3.1622776601683795,0.000826,0.000464159,0.001,0.24,0.2,0.3,0.0765,0.05,0.1,0.000839,0.00323,0.119,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
831,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9874606914351791,1.7782013384316186,3.1622776601683795,0.000833,0.000464159,0.001,0.342,0.3,0.4,0.0758,0.05,0.1,-0.0495,0.00537,1.07e-11,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
832,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9595917942265424,1.7782013384316186,3.1622776601683795,0.000827,0.000464159,0.001,0.441,0.4,0.5,0.0766,0.05,0.1,-0.0125,0.00764,0.0992,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
833,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9874606914351791,1.7782013384316186,3.1622776601683795,0.000823,0.000464159,0.001,0.547,0.5,0.6,0.0768,0.05,0.1,0.00328,0.0116,13.1,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
834,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9595917942265424,1.7782013384316186,3.1622776601683795,0.000834,0.000464159,0.001,0.643,0.6,0.7,0.0784,0.05,0.1,0.247,0.0178,0.691,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
835,1 - 1 - 12021,1 - 1 - 2021,7200.0,2.0174241001832014,1.7782013384316186,3.1622776601683795,0.000826,0.000464159,0.001,0.743,0.7,0.8,0.0779,0.05,0.1,-0.0221,0.028,16.6,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
841,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9798989873223332,1.7782013384316186,3.1622776601683795,0.000816,0.000464159,0.001,0.342,0.3,0.4,0.152,0.1,0.2,-0.00784,0.00242,0.107,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
842,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9672315572906003,1.7782013384316186,3.1622776601683795,0.000817,0.000464159,0.001,0.443,0.4,0.5,0.151,0.1,0.2,0.041,0.00369,0.0453,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
843,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9748417658131499,1.7782013384316186,3.1622776601683795,0.000817,0.000464159,0.001,0.54,0.5,0.6,0.152,0.1,0.2,-0.0352,0.00547,0.241,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
844,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9748417658131499,1.7782013384316186,3.1622776601683795,0.00082,0.000464159,0.001,0.641,0.6,0.7,0.151,0.1,0.2,-0.0646,0.00856,1.48,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
845,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.9672315572906003,1.7782013384316186,3.1622776601683795,0.000821,0.000464159,0.001,0.74,0.7,0.8,0.156,0.1,0.2,0.144,0.0129,1.01,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
846,1 - 1 - 12021,1 - 1 - 2021,7200.0,1.969771560359221,1.7782013384316186,3.1622776601683795,0.00084,0.000464159,0.001,0.839,0.8,0.9,0.149,0.1,0.2,-0.03,0.0227,31.7,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
